iter	RMSE
0	1.097625542
1	1.064043854
2	1.030748125
3	1.001281623
4	0.9705637418
5	0.9429323688
6	0.9170255752
7	0.8926160598
8	0.8701275836
9	0.8484110194
10	0.8280048937
11	0.807405462
12	0.7883601049
13	0.7708163221
14	0.7529451217
15	0.735969686
16	0.71915085
17	0.7039251619
18	0.6883824162
19	0.6746433456
20	0.6616605805
21	0.6507772112
22	0.6401264566
23	0.627932817
24	0.6157592076
25	0.6066121641
26	0.5973451372
27	0.5896591603
28	0.5802311867
29	0.5735695554
30	0.5661658206
31	0.559571101
32	0.5526343187
33	0.5463900133
34	0.5405181987
35	0.5350395663
36	0.5288949919
37	0.5238794037
38	0.5195582096
39	0.5142792895
40	0.5097450347
41	0.5049176393
42	0.5009101781
43	0.4958640531
44	0.4907150428
45	0.4874139618
46	0.483905658
47	0.4798361189
48	0.4762864346
49	0.4732560273
50	0.4704030797
51	0.467523272
52	0.4644083852
53	0.4610935481
54	0.4582541043
55	0.455602664
56	0.4531334154
57	0.4503033653
58	0.4482153417
59	0.4457724357
60	0.4433984605
61	0.4412202058
62	0.439271526
63	0.4376051053
64	0.436253418
65	0.4346831527
66	0.4320767527
67	0.4305118239
68	0.4286348226
69	0.4266809611
70	0.4243855711
71	0.422384504
72	0.4204241096
73	0.4179538518
74	0.4164168967
75	0.4142590389
76	0.4126431855
77	0.4108316659
78	0.409639521
79	0.4079171249
80	0.4058869184
81	0.4046750775
82	0.4031960898
83	0.4006082106
84	0.3994452492
85	0.3979810648
86	0.3970207709
87	0.3957143119
88	0.3942558655
89	0.3930841348
90	0.3918818492
91	0.3905927767
92	0.3897910246
93	0.3890621571
94	0.388233449
95	0.3869007009
96	0.3860117573
97	0.3851003787
98	0.3837532928
99	0.3828351802
100	0.3815324057
101	0.3802674628
102	0.3796954327
103	0.3785373299
104	0.3772334763
105	0.3761942429
106	0.3749857557
107	0.3743724939
108	0.3731842455
109	0.3720735438
110	0.3712634979
111	0.3695970041
112	0.3681825344
113	0.3673257054
114	0.3660714196
115	0.365325561
116	0.3645963516
117	0.3637026413
118	0.3626115031
119	0.3614899834
120	0.3602741648
121	0.3586849678
122	0.3580389309
123	0.3572601985
124	0.3561437271
125	0.355046792
126	0.353524922
127	0.3526137139
128	0.3514719499
129	0.3505121935
130	0.3491013483
131	0.3476956132
132	0.347151087
133	0.34560344
134	0.3446355734
135	0.3438612201
136	0.3429474395
137	0.3421781312
138	0.3411558241
139	0.3404263024
140	0.339994568
141	0.3389267829
142	0.3378010025
143	0.336789202
144	0.3351993262
145	0.3342395338
146	0.3331390349
147	0.3325469602
148	0.3318054379
149	0.3303254731
150	0.3290823859
151	0.3276513728
152	0.3259922612
153	0.3248271402
154	0.3244548848
155	0.3229005209
156	0.3219843538
157	0.3215138905
158	0.3211076696
159	0.3204138879
160	0.3194216226
161	0.3180855833
162	0.3174683498
163	0.3165036372
164	0.3155027069
165	0.3148217785
166	0.3140313823
167	0.3134650656
168	0.3129182471
169	0.3121260904
170	0.3113609972
171	0.3101768734
172	0.3096702532
173	0.3087631024
174	0.3079497414
175	0.3068838603
176	0.3062663666
177	0.3052198471
