iter	Passed	Remaining
0	2	1018
1	3	900
2	5	853
3	6	840
4	8	858
5	10	869
6	12	859
7	13	849
8	15	850
9	17	846
10	18	841
11	22	934
12	25	946
13	27	939
14	28	927
15	30	918
16	32	912
17	33	904
18	35	893
19	36	882
20	38	873
21	40	874
22	42	874
23	44	872
24	45	867
25	47	866
26	49	861
27	50	855
28	52	845
29	53	835
30	54	829
31	56	829
32	58	823
33	59	817
34	61	817
35	63	813
36	64	808
37	66	804
38	67	799
39	69	794
40	70	790
41	72	791
42	74	791
43	75	786
44	77	784
45	79	780
46	80	776
47	82	773
48	83	767
49	84	761
50	85	756
51	88	762
52	90	760
53	92	759
54	95	770
55	96	768
56	98	764
57	99	758
58	100	754
59	102	753
60	104	753
61	106	751
62	108	749
63	109	746
64	110	741
65	112	736
66	113	732
67	114	729
68	116	726
69	118	726
70	120	729
71	122	728
72	123	719
73	124	716
74	125	712
75	127	708
76	128	705
77	129	701
78	131	698
79	132	694
80	134	694
81	136	694
82	137	691
83	139	688
84	140	687
85	142	685
86	144	683
87	145	680
88	146	677
89	147	674
90	149	673
91	151	671
92	152	668
93	154	666
94	156	665
95	157	663
96	159	661
97	161	661
98	162	658
99	164	656
100	166	656
101	168	657
102	169	654
103	171	653
104	173	651
105	174	650
106	176	646
107	177	643
108	178	641
109	180	638
110	182	639
111	184	638
112	185	636
113	187	635
114	189	634
115	191	633
116	192	631
117	194	629
118	196	627
119	198	629
120	204	639
121	205	636
122	207	634
123	208	632
124	209	629
125	211	627
126	213	626
127	215	624
128	216	622
129	218	620
130	219	619
131	221	617
132	222	615
133	224	612
134	225	609
135	226	606
136	228	605
137	230	604
138	232	603
139	233	600
140	235	599
141	236	597
142	238	595
143	239	593
144	241	590
145	242	588
146	244	586
147	245	584
148	247	582
149	248	580
150	250	579
151	252	577
152	253	575
153	255	573
154	256	571
155	257	568
156	259	566
157	261	565
158	262	563
159	264	561
160	265	559
161	267	558
162	268	555
163	270	553
164	271	551
165	273	549
166	274	546
167	276	546
168	278	545
169	280	544
170	282	544
171	284	543
172	286	542
173	288	541
174	290	539
175	292	539
176	294	537
177	296	536
178	297	534
179	299	532
180	300	530
181	302	528
182	303	526
183	305	525
184	307	524
185	310	524
186	312	522
187	314	521
188	315	519
189	317	517
190	319	516
191	320	513
192	321	511
193	323	510
194	325	509
195	327	507
196	328	505
197	330	504
198	332	502
199	333	500
200	335	498
201	336	496
202	338	494
203	339	493
204	341	491
205	342	488
206	344	486
207	345	485
208	347	483
209	348	481
210	350	479
211	351	477
212	352	475
213	354	474
214	356	472
215	357	470
216	359	468
